epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65834E+12,2022-07-20T13:09:35.901,6.44,0.096,0.961,0.323,trial1
1.65834E+12,2022-07-20T13:09:35.941,6.48,0.097,0.965,0.324,
1.65834E+12,2022-07-20T13:09:35.981,6.52,0.099,0.961,0.324,
1.65834E+12,2022-07-20T13:09:36.021,6.56,0.104,0.952,0.322,
1.65834E+12,2022-07-20T13:09:36.061,6.6,0.096,0.957,0.317,
1.65834E+12,2022-07-20T13:09:36.101,6.64,0.093,0.964,0.313,
1.65834E+12,2022-07-20T13:09:36.141,6.68,0.084,0.964,0.311,
1.65834E+12,2022-07-20T13:09:36.181,6.72,0.079,0.961,0.314,
1.65834E+12,2022-07-20T13:09:36.221,6.76,0.084,0.96,0.321,
1.65834E+12,2022-07-20T13:09:36.261,6.8,0.085,0.961,0.322,
1.65834E+12,2022-07-20T13:09:36.301,6.84,0.085,0.955,0.322,
1.65834E+12,2022-07-20T13:09:36.341,6.88,0.094,0.958,0.322,
1.65834E+12,2022-07-20T13:09:36.381,6.92,0.094,0.962,0.324,
1.65834E+12,2022-07-20T13:09:36.421,6.96,0.095,0.962,0.326,
1.65834E+12,2022-07-20T13:09:36.461,7,0.085,0.958,0.323,
1.65834E+12,2022-07-20T13:09:36.501,7.04,0.098,0.955,0.321,
1.65834E+12,2022-07-20T13:09:36.541,7.08,0.094,0.954,0.32,
1.65834E+12,2022-07-20T13:09:36.581,7.12,0.09,0.955,0.318,
1.65834E+12,2022-07-20T13:09:36.621,7.16,0.087,0.957,0.319,
1.65834E+12,2022-07-20T13:09:36.661,7.2,0.093,0.961,0.32,
1.65834E+12,2022-07-20T13:09:36.701,7.24,0.095,0.965,0.321,
1.65834E+12,2022-07-20T13:09:36.741,7.28,0.102,0.957,0.323,
1.65834E+12,2022-07-20T13:09:36.781,7.32,0.099,0.959,0.322,
1.65834E+12,2022-07-20T13:09:36.821,7.36,0.108,0.958,0.325,
1.65834E+12,2022-07-20T13:09:36.861,7.4,0.101,0.959,0.322,
1.65834E+12,2022-07-20T13:09:36.901,7.44,0.104,0.96,0.321,
1.65834E+12,2022-07-20T13:09:36.941,7.48,0.111,0.962,0.321,
1.65834E+12,2022-07-20T13:09:36.981,7.52,0.107,0.957,0.32,
1.65834E+12,2022-07-20T13:09:37.021,7.56,0.111,0.957,0.321,
1.65834E+12,2022-07-20T13:09:37.061,7.6,0.102,0.964,0.32,
1.65834E+12,2022-07-20T13:09:37.101,7.64,0.102,0.961,0.321,
1.65834E+12,2022-07-20T13:09:37.141,7.68,0.096,0.96,0.322,
1.65834E+12,2022-07-20T13:09:37.181,7.72,0.1,0.959,0.322,
1.65834E+12,2022-07-20T13:09:37.221,7.76,0.1,0.958,0.316,
1.65834E+12,2022-07-20T13:09:37.261,7.8,0.095,0.966,0.315,
1.65834E+12,2022-07-20T13:09:37.301,7.84,0.103,0.958,0.318,
1.65834E+12,2022-07-20T13:09:37.341,7.88,0.099,0.961,0.314,
1.65834E+12,2022-07-20T13:09:37.381,7.92,0.106,0.958,0.318,
1.65834E+12,2022-07-20T13:09:37.421,7.96,0.109,0.959,0.319,
1.65834E+12,2022-07-20T13:09:37.461,8,0.107,0.962,0.317,
1.65834E+12,2022-07-20T13:09:37.501,8.04,0.109,0.961,0.32,
1.65834E+12,2022-07-20T13:09:37.541,8.08,0.112,0.956,0.322,
1.65834E+12,2022-07-20T13:09:37.581,8.12,0.103,0.961,0.32,
1.65834E+12,2022-07-20T13:09:37.621,8.16,0.108,0.96,0.319,
1.65834E+12,2022-07-20T13:09:37.661,8.2,0.104,0.958,0.318,
1.65834E+12,2022-07-20T13:09:37.701,8.24,0.103,0.959,0.316,
1.65834E+12,2022-07-20T13:09:37.741,8.28,0.11,0.958,0.318,
1.65834E+12,2022-07-20T13:09:37.781,8.32,0.111,0.958,0.317,
1.65834E+12,2022-07-20T13:09:37.821,8.36,0.11,0.967,0.318,
1.65834E+12,2022-07-20T13:09:37.861,8.4,0.116,0.956,0.322,
1.65834E+12,2022-07-20T13:09:37.901,8.44,0.111,0.958,0.316,
1.65834E+12,2022-07-20T13:09:37.941,8.48,0.112,0.948,0.314,
1.65834E+12,2022-07-20T13:09:37.981,8.52,0.13,0.962,0.304,
1.65834E+12,2022-07-20T13:09:38.021,8.56,0.146,0.972,0.298,
1.65834E+12,2022-07-20T13:09:38.061,8.6,0.19,0.962,0.292,
1.65834E+12,2022-07-20T13:09:38.101,8.64,0.229,0.955,0.288,
1.65834E+12,2022-07-20T13:09:38.141,8.68,0.228,0.943,0.277,
1.65834E+12,2022-07-20T13:09:38.181,8.72,0.219,0.925,0.258,
1.65834E+12,2022-07-20T13:09:38.221,8.76,0.216,0.919,0.247,
1.65834E+12,2022-07-20T13:09:38.261,8.8,0.221,0.944,0.271,
1.65834E+12,2022-07-20T13:09:38.301,8.84,0.195,0.968,0.328,
1.65834E+12,2022-07-20T13:09:38.341,8.88,0.196,0.924,0.367,
1.65834E+12,2022-07-20T13:09:38.381,8.92,0.138,0.829,0.368,
1.65834E+12,2022-07-20T13:09:38.421,8.96,0.145,1.012,0.411,
1.65834E+12,2022-07-20T13:09:38.461,9,0.14,1.171,0.437,
1.65834E+12,2022-07-20T13:09:38.501,9.04,0.111,0.961,0.455,
1.65834E+12,2022-07-20T13:09:38.541,9.08,0.116,0.883,0.436,
1.65834E+12,2022-07-20T13:09:38.581,9.12,0.116,0.909,0.396,
1.65834E+12,2022-07-20T13:09:38.621,9.16,0.227,0.87,0.38,
1.65834E+12,2022-07-20T13:09:38.661,9.2,0.259,0.856,0.394,
1.65834E+12,2022-07-20T13:09:38.701,9.24,0.273,0.887,0.393,
1.65834E+12,2022-07-20T13:09:38.741,9.28,0.244,0.907,0.395,
1.65834E+12,2022-07-20T13:09:38.781,9.32,0.199,0.829,0.395,
1.65834E+12,2022-07-20T13:09:38.821,9.36,0.266,0.85,0.394,
1.65834E+12,2022-07-20T13:09:38.861,9.4,0.304,1.108,0.376,
1.65834E+12,2022-07-20T13:09:38.901,9.44,0.265,1.099,0.364,
1.65834E+12,2022-07-20T13:09:38.941,9.48,0.19,0.92,0.367,
1.65834E+12,2022-07-20T13:09:38.981,9.52,0.092,1.021,0.238,
1.65834E+12,2022-07-20T13:09:39.021,9.56,0.031,1.13,0.143,
1.65834E+12,2022-07-20T13:09:39.061,9.6,0.124,1.03,0.219,
1.65834E+12,2022-07-20T13:09:39.101,9.64,0.192,0.974,0.176,
1.65834E+12,2022-07-20T13:09:39.141,9.68,0.123,0.922,0.213,
1.65834E+12,2022-07-20T13:09:39.181,9.72,0.105,0.857,0.259,
1.65834E+12,2022-07-20T13:09:39.221,9.76,0.172,0.861,0.275,
1.65834E+12,2022-07-20T13:09:39.261,9.8,0.198,0.888,0.313,
1.65834E+12,2022-07-20T13:09:39.301,9.84,0.219,0.888,0.322,
1.65834E+12,2022-07-20T13:09:39.341,9.88,0.221,0.956,0.309,
1.65834E+12,2022-07-20T13:09:39.381,9.92,0.161,1.003,0.293,
1.65834E+12,2022-07-20T13:09:39.421,9.96,0.179,1.009,0.29,
1.65834E+12,2022-07-20T13:09:39.461,10,0.241,1.055,0.263,
1.65834E+12,2022-07-20T13:09:39.501,10.04,0.219,1.317,0.257,
1.65834E+12,2022-07-20T13:09:39.541,10.08,0.128,1.061,0.335,
1.65834E+12,2022-07-20T13:09:39.581,10.12,0.086,0.656,0.361,
1.65834E+12,2022-07-20T13:09:39.621,10.16,0.125,0.943,0.298,
1.65834E+12,2022-07-20T13:09:39.661,10.2,0.108,1.208,0.383,
1.65834E+12,2022-07-20T13:09:39.701,10.24,0.115,0.963,0.455,
1.65834E+12,2022-07-20T13:09:39.741,10.28,0.234,0.861,0.414,
1.65834E+12,2022-07-20T13:09:39.781,10.32,0.183,0.916,0.408,
1.65834E+12,2022-07-20T13:09:39.821,10.36,0.219,0.871,0.42,
1.65834E+12,2022-07-20T13:09:39.861,10.4,0.22,0.879,0.405,
1.65834E+12,2022-07-20T13:09:39.901,10.44,0.174,0.869,0.407,
1.65834E+12,2022-07-20T13:09:39.941,10.48,0.035,0.74,0.396,
1.65834E+12,2022-07-20T13:09:39.981,10.52,0.049,0.536,0.306,
1.65834E+12,2022-07-20T13:09:40.021,10.56,0.033,0.561,0.246,
1.65834E+12,2022-07-20T13:09:40.061,10.6,-0.161,0.598,0.239,
1.65834E+12,2022-07-20T13:09:40.101,10.64,-0.081,0.446,0.328,
1.65834E+12,2022-07-20T13:09:40.141,10.68,-0.033,0.504,0.354,
1.65834E+12,2022-07-20T13:09:40.181,10.72,-0.003,0.566,0.437,
1.65834E+12,2022-07-20T13:09:40.221,10.76,0.058,0.56,0.62,
1.65834E+12,2022-07-20T13:09:40.261,10.8,0.103,0.507,0.777,
1.65834E+12,2022-07-20T13:09:40.301,10.84,0.107,0.577,0.855,
1.65834E+12,2022-07-20T13:09:40.341,10.88,0.057,0.448,1.045,
1.65834E+12,2022-07-20T13:09:40.381,10.92,0.01,0.444,1.146,
1.65834E+12,2022-07-20T13:09:40.421,10.96,0.01,0.546,1.143,
1.65834E+12,2022-07-20T13:09:40.461,11,0.301,0.44,0.663,
1.65834E+12,2022-07-20T13:09:40.501,11.04,0.217,0.726,-0.435,
1.65834E+12,2022-07-20T13:09:40.541,11.08,-0.845,1.295,-1.092,
1.65834E+12,2022-07-20T13:09:40.581,11.12,-0.458,1.547,1.568,
1.65834E+12,2022-07-20T13:09:40.621,11.16,0.404,1.717,1.377,
1.65834E+12,2022-07-20T13:09:40.661,11.2,0.73,0.857,-0.006,
1.65834E+12,2022-07-20T13:09:40.701,11.24,0.383,-0.314,0.708,
1.65834E+12,2022-07-20T13:09:40.741,11.28,0.275,1.035,0.804,
1.65834E+12,2022-07-20T13:09:40.781,11.32,0.283,1.592,0.726,
1.65834E+12,2022-07-20T13:09:40.821,11.36,0.656,0.324,0.457,
1.65834E+12,2022-07-20T13:09:40.861,11.4,0.502,0.618,0.615,
1.65834E+12,2022-07-20T13:09:40.901,11.44,0.42,0.374,0.402,
1.65834E+12,2022-07-20T13:09:40.941,11.48,0.69,1.003,0.35,
1.65834E+12,2022-07-20T13:09:40.981,11.52,0.503,0.634,0.211,
1.65834E+12,2022-07-20T13:09:41.021,11.56,0.749,0.222,0.586,
1.65834E+12,2022-07-20T13:09:41.061,11.6,0.771,0.254,0.416,
1.65834E+12,2022-07-20T13:09:41.101,11.64,1.244,-0.167,0.857,
1.65834E+12,2022-07-20T13:09:41.141,11.68,1.246,-0.449,0.679,
1.65834E+12,2022-07-20T13:09:41.181,11.72,1.066,-0.207,0.574,
1.65834E+12,2022-07-20T13:09:41.221,11.76,0.961,-0.075,0.336,
1.65834E+12,2022-07-20T13:09:41.261,11.8,0.913,-0.036,0.302,
1.65834E+12,2022-07-20T13:09:41.301,11.84,0.891,-0.006,0.366,
1.65834E+12,2022-07-20T13:09:41.341,11.88,0.903,0.051,0.298,
1.65834E+12,2022-07-20T13:09:41.381,11.92,0.952,0.057,0.294,
1.65834E+12,2022-07-20T13:09:41.421,11.96,0.969,0.063,0.354,
1.65834E+12,2022-07-20T13:09:41.461,12,0.978,-0.019,0.397,
1.65834E+12,2022-07-20T13:09:41.501,12.04,0.939,-0.021,0.368,
1.65834E+12,2022-07-20T13:09:42.421,12.96,0.907,-0.089,0.532,
1.65834E+12,2022-07-20T13:09:42.461,13,0.873,-0.071,0.579,
1.65834E+12,2022-07-20T13:09:42.501,13.04,0.757,-0.056,0.56,
1.65834E+12,2022-07-20T13:09:42.541,13.08,0.686,-0.033,0.619,
1.65834E+12,2022-07-20T13:09:42.581,13.12,0.829,0.032,0.633,
1.65834E+12,2022-07-20T13:09:42.621,13.16,0.822,0.1,0.71,
1.65834E+12,2022-07-20T13:09:42.661,13.2,0.733,0.13,0.773,
1.65834E+12,2022-07-20T13:09:42.701,13.24,0.753,0.134,0.753,
1.65834E+12,2022-07-20T13:09:42.741,13.28,0.752,0.132,0.8,
1.65834E+12,2022-07-20T13:09:42.781,13.32,0.819,0.341,0.766,
1.65834E+12,2022-07-20T13:09:42.821,13.36,0.791,0.472,0.871,
1.65834E+12,2022-07-20T13:09:42.861,13.4,0.539,0.762,0.79,
1.65834E+12,2022-07-20T13:09:42.901,13.44,0.215,1.168,0.792,
1.65834E+12,2022-07-20T13:09:42.941,13.48,0.153,0.949,0.386,
1.65834E+12,2022-07-20T13:09:42.981,13.52,0.439,0.671,0.249,
1.65834E+12,2022-07-20T13:09:43.021,13.56,-0.027,0.775,0.226,
1.65834E+12,2022-07-20T13:09:43.061,13.6,0.278,0.482,0.998,
1.65834E+12,2022-07-20T13:09:43.101,13.64,0.269,0.468,1.055,
1.65834E+12,2022-07-20T13:09:43.141,13.68,0.281,0.578,0.644,
1.65834E+12,2022-07-20T13:09:43.181,13.72,0.146,0.702,0.561,
1.65834E+12,2022-07-20T13:09:43.221,13.76,-0.062,0.788,0.503,
1.65834E+12,2022-07-20T13:09:43.261,13.8,0.115,0.81,0.761,
1.65834E+12,2022-07-20T13:09:43.301,13.84,0.244,0.676,0.878,
1.65834E+12,2022-07-20T13:09:43.341,13.88,0.094,0.574,0.696,
1.65834E+12,2022-07-20T13:09:43.381,13.92,0.169,0.538,0.767,
1.65834E+12,2022-07-20T13:09:43.421,13.96,0.208,0.627,0.613,
1.65834E+12,2022-07-20T13:09:43.461,14,0.244,0.607,0.576,
1.65834E+12,2022-07-20T13:09:43.501,14.04,0.536,0.509,0.892,
1.65834E+12,2022-07-20T13:09:43.541,14.08,0.354,0.745,0.974,
1.65834E+12,2022-07-20T13:09:43.581,14.12,0.506,0.938,0.944,
1.65834E+12,2022-07-20T13:09:43.621,14.16,0.46,1.219,0.713,
1.65834E+12,2022-07-20T13:09:43.661,14.2,0.499,1.37,0.602,
1.65834E+12,2022-07-20T13:09:43.701,14.24,0.366,1.085,0.729,
1.65834E+12,2022-07-20T13:09:43.741,14.28,0.263,0.82,0.911,
1.65834E+12,2022-07-20T13:09:43.781,14.32,0.477,0.874,0.747,
1.65834E+12,2022-07-20T13:09:43.821,14.36,0.254,1.125,0.645,
1.65834E+12,2022-07-20T13:09:43.861,14.4,0.132,1.094,0.62,
1.65834E+12,2022-07-20T13:09:43.901,14.44,0.293,0.963,0.657,
1.65834E+12,2022-07-20T13:09:43.941,14.48,0.363,0.977,0.686,
1.65834E+12,2022-07-20T13:09:43.981,14.52,0.309,0.979,0.573,
1.65834E+12,2022-07-20T13:09:44.021,14.56,0.251,0.949,0.465,
1.65834E+12,2022-07-20T13:09:44.061,14.6,0.248,0.854,0.425,
1.65834E+12,2022-07-20T13:09:44.101,14.64,0.185,0.594,0.344,
1.65834E+12,2022-07-20T13:09:44.141,14.68,0.16,0.354,0.294,
1.65834E+12,2022-07-20T13:09:44.181,14.72,0.089,0.393,0.221,
1.65834E+12,2022-07-20T13:09:44.221,14.76,0.141,0.49,0.151,
1.65834E+12,2022-07-20T13:09:44.261,14.8,0.186,0.543,0.097,
1.65834E+12,2022-07-20T13:09:44.301,14.84,0.217,0.568,0.136,
1.65834E+12,2022-07-20T13:09:44.341,14.88,0.312,0.583,0.127,
1.65834E+12,2022-07-20T13:09:44.381,14.92,0.314,0.795,0.107,
1.65834E+12,2022-07-20T13:09:44.421,14.96,0.29,0.998,0.136,
1.65834E+12,2022-07-20T13:09:44.461,15,0.262,0.945,0.208,
1.65834E+12,2022-07-20T13:09:44.501,15.04,0.21,0.888,0.281,
1.65834E+12,2022-07-20T13:09:44.541,15.08,0.111,0.983,0.248,
1.65834E+12,2022-07-20T13:09:44.581,15.12,0.038,1.031,0.198,
1.65834E+12,2022-07-20T13:09:44.621,15.16,-0.018,1.168,0.235,
1.65834E+12,2022-07-20T13:09:44.661,15.2,-0.149,1.395,0.315,
1.65834E+12,2022-07-20T13:09:44.701,15.24,-0.142,1.329,0.419,
1.65834E+12,2022-07-20T13:09:44.741,15.28,-0.104,1.308,0.532,
1.65834E+12,2022-07-20T13:09:44.781,15.32,-0.118,1.026,0.647,
1.65834E+12,2022-07-20T13:09:44.821,15.36,-0.171,0.977,0.543,
1.65834E+12,2022-07-20T13:09:44.861,15.4,-0.095,0.933,0.376,
1.65834E+12,2022-07-20T13:09:44.901,15.44,0.173,0.715,0.38,
1.65834E+12,2022-07-20T13:09:44.941,15.48,0.305,0.647,0.397,
1.65834E+12,2022-07-20T13:09:44.981,15.52,0.289,0.709,0.341,
1.65834E+12,2022-07-20T13:09:45.021,15.56,0.282,0.819,0.309,
1.65834E+12,2022-07-20T13:09:45.061,15.6,0.209,0.91,0.304,
1.65834E+12,2022-07-20T13:09:45.101,15.64,0.173,0.906,0.34,
1.65834E+12,2022-07-20T13:09:45.141,15.68,0.063,0.946,0.323,
1.65834E+12,2022-07-20T13:09:45.181,15.72,0.05,0.904,0.307,
1.65834E+12,2022-07-20T13:09:45.221,15.76,0.036,0.88,0.297,
1.65834E+12,2022-07-20T13:09:45.261,15.8,0.026,0.868,0.29,
1.65834E+12,2022-07-20T13:09:45.301,15.84,0.097,0.905,0.282,
1.65834E+12,2022-07-20T13:09:45.341,15.88,0.259,1.013,0.302,
1.65834E+12,2022-07-20T13:09:45.381,15.92,0.325,1.043,0.336,
1.65834E+12,2022-07-20T13:09:45.421,15.96,0.318,1.097,0.334,
1.65834E+12,2022-07-20T13:09:45.461,16,0.281,1.116,0.316,
1.65834E+12,2022-07-20T13:09:45.501,16.04,0.289,1.125,0.315,
1.65834E+12,2022-07-20T13:09:45.541,16.08,0.322,1.193,0.285,
1.65834E+12,2022-07-20T13:09:45.581,16.12,0.327,0.978,0.289,
1.65834E+12,2022-07-20T13:09:45.621,16.16,0.301,0.892,0.276,
1.65834E+12,2022-07-20T13:09:45.661,16.2,0.267,0.851,0.231,
1.65834E+12,2022-07-20T13:09:45.701,16.24,0.266,0.834,0.182,
1.65834E+12,2022-07-20T13:09:45.741,16.28,0.238,0.933,0.134,
1.65834E+12,2022-07-20T13:09:45.781,16.32,0.195,0.973,0.112,
1.65834E+12,2022-07-20T13:09:45.821,16.36,0.173,0.947,0.126,
1.65834E+12,2022-07-20T13:09:45.861,16.4,0.166,0.966,0.14,
1.65834E+12,2022-07-20T13:09:45.901,16.44,0.163,0.958,0.201,
1.65834E+12,2022-07-20T13:09:45.941,16.48,0.181,0.927,0.29,
1.65834E+12,2022-07-20T13:09:45.981,16.52,0.167,1.003,0.357,
1.65834E+12,2022-07-20T13:09:46.021,16.56,0.167,1.01,0.352,
1.65834E+12,2022-07-20T13:09:46.061,16.6,0.148,0.991,0.421,
1.65834E+12,2022-07-20T13:09:46.101,16.64,0.155,1.003,0.425,
1.65834E+12,2022-07-20T13:09:46.141,16.68,0.126,1.031,0.358,
1.65834E+12,2022-07-20T13:09:46.181,16.72,0.152,0.999,0.272,
